database,schema,table,column,sql_type,not_null,primary_key,unique,default,description
v1,embedded_v1,events,id,CHAR(26),true,true,false,,Unique identifier for the record.
v1,embedded_v1,events,name,VARCHAR(255),true,false,true,,Resource name; the AIP identifier.
v1,embedded_v1,events,create_time,TIMESTAMPTZ,true,false,false,now(),"Well-known type stays a scalar column, not a relation."
v1,embedded_v1,events,labels,JSONB,false,false,false,,Map fields stay JSONB.
v1,embedded_v1,events,location_id,VARCHAR(255),true,false,false,,Foreign key to Location.
v1,embedded_v1,events,billing_id,VARCHAR(255),false,false,false,,Foreign key to Location.
v1,embedded_v1,events,metadata_id,CHAR(26),false,false,false,,Foreign key to Metadata.
v1,embedded_v1,attendees,id,CHAR(26),true,true,false,,Unique identifier for the record.
v1,embedded_v1,attendees,name,VARCHAR(255),true,false,true,,Resource name; the AIP identifier.
v1,embedded_v1,attendees,email,VARCHAR(255),true,false,false,,Email address of the attendee.
v1,embedded_v1,attendees,event_id,CHAR(26),true,false,false,,Parent reference to Event (from the AIP resource pattern).
v1,embedded_v1,locations,id,VARCHAR(255),true,true,false,,"Unique identifier for the location, assigned by the server."
v1,embedded_v1,locations,city,VARCHAR(255),true,false,false,,City where the location resides.
v1,embedded_v1,locations,venue,VARCHAR(255),false,false,false,,Venue name within the city.
v1,embedded_v1,metadatas,id,CHAR(26),true,true,false,,Unique identifier for the record.
v1,embedded_v1,metadatas,source,VARCHAR(255),false,false,false,,Free-form source system label.
v1,embedded_v1,metadatas,tags,VARCHAR(255)[],false,false,false,,Arbitrary tags.
v1,embedded_v1,metadatas,owner,CHAR(26),false,false,false,,"Singular resource reference → belongs-to with a bare-named FK column (`owner`, no `_id`). Its auto-index must name the scalar field `ownerID`, not the `owner` relation field, or Prisma rejects the @@index."
v1,embedded_v1,event_attendees,id,CHAR(26),true,true,false,,Unique identifier for the record.
v1,embedded_v1,event_attendees,event_id,CHAR(26),true,false,false,,Foreign key to Event.
v1,embedded_v1,event_attendees,attendee_id,CHAR(26),true,false,false,,Foreign key to Attendee.
